contract_id,contract_name,publicEntityName,contract_amount,estimatedCost,procurement_method,contractorName1,contractDate,endOrCompleteDate,status,percentageOfCompletion,cost_variance_pct,bidder_count,contract_duration_days,payment_discrepancy,is_red_flag_entity,is_blacklisted_contractor,actual_payment_made
C-2025-027,Equipment Installation Service for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,7337134.66,7167769.26,RFQ,Mountain Steel Fabricators,9/21/2023,1/22/2024,Completed,100,2.36,4,123,-132749.61,TRUE,FALSE,7469884.27
C-2025-028,Solar Mini-Grid Installation for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,13240530.52,15056320.16,QCBS,Madan Bhandari Construction,2/28/2025,2/18/2026,In-Progress,73.8,-12.06,4,355,2840598.04,FALSE,FALSE,10399932.48
C-2025-029,Irrigation Canal Upgrade for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,61939990.96,51520313.9,NCB,Dolakha Telecom Services,3/1/2024,11/6/2024,Completed,100,20.22,8,250,-2180995.39,FALSE,FALSE,64120986.35
C-2025-030,Call Center Outsourcing for Kathmandu Metropolitan City Office,Kathmandu Metropolitan City Office,1550764.59,1445381.25,Shopping,Hetauda Smart City Consortium,3/28/2025,11/12/2025,Completed,100,7.29,3,229,-9272.15,FALSE,FALSE,1560036.74
C-2025-031,Budget & Cost Audit for Department of Local Infrastructure,Department of Local Infrastructure,1626923.65,1640309.26,QCBS,Bhaktapur Sanitation Services,12/9/2023,4/6/2024,In-Progress,28.44,-0.82,7,119,1117996.64,FALSE,FALSE,508927.01
C-2025-032,Water Supply Improvement for Department of Roads,"Department of Roads, DOR",67656950.07,61297846.6,QCBS,Annapurna Developers,11/15/2023,7/21/2024,Completed,100,10.37,6,249,1307382,FALSE,FALSE,66349568.07
C-2025-033,Road Rehabilitation for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,12755605.88,13103772.59,NCB,Terai Concrete & Steel,6/3/2025,9/3/2026,Delayed,87.68,-2.66,14,457,2801756,FALSE,FALSE,9953849.88
C-2025-034,Municipal Office Complex for Nepal Water Supply Corporation,Nepal Water Supply Corporation,31200031.94,34127179.77,NCB,Sagarmatha Infra JV,7/4/2023,7/20/2024,Completed,100,-8.58,9,382,2315574.1,FALSE,FALSE,28884457.84
C-2025-035,Procurement of Electric Poles for Kathmandu Metropolitan City Office,Kathmandu Metropolitan City Office,8545973.4,8850536.17,NCB,Narayani Road Builders,9/16/2023,10/23/2023,In-Progress,61.26,-3.44,15,37,3133065.86,FALSE,FALSE,5412907.54
C-2025-036,Solar Mini-Grid Installation for Department of Local Infrastructure,Department of Local Infrastructure,30687078.2,31766302.75,NCB,Sagarmatha Infra JV,7/1/2024,4/5/2025,Completed,100,-3.4,7,278,1315281.47,FALSE,FALSE,29371796.73
C-2025-037,Policy & Process Review for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,4045941.41,3467548.11,NCB,Janakpur IT & Systems,2/28/2024,11/15/2024,Delayed,71.41,16.68,6,261,1393344.94,FALSE,TRUE,2652596.47
C-2025-038,Social Safeguard Study for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,5506104.87,4963853.32,NCB,Arun Valley Construction,3/30/2024,10/13/2024,Completed,100,10.92,6,197,-318267,FALSE,FALSE,5824371.87
C-2025-039,School Building Reconstruction for Department of Electricity Development,Department of Electricity Development,43716497.06,53667034.44,QCBS,Sudur Cement & Hardware,5/8/2024,6/21/2025,Completed,100,-18.54,10,409,643650.53,FALSE,TRUE,43072846.53
C-2025-040,Irrigation Canal Upgrade for Lalitpur Metropolitan City Office,Lalitpur Metropolitan City Office,15654850.17,14122283.64,NCB,Koshal Logistics Pvt. Ltd.,6/24/2024,3/20/2025,Completed,100,10.85,14,269,72420.94,FALSE,FALSE,15582429.23
C-2025-041,Call Center Outsourcing for Nepal Water Supply Corporation,Nepal Water Supply Corporation,2742857.61,3015119.11,NCB,Seti River Works,2/14/2025,7/1/2025,Completed,100,-9.03,8,137,-2139.74,FALSE,FALSE,2744997.35
C-2025-042,Solar Mini-Grid Installation for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,22775726.51,30210185.99,Shopping,Gandaki GIS & Survey,2/10/2025,7/29/2026,In-Progress,70.64,-24.61,4,534,7858296.47,FALSE,TRUE,14917430.04
C-2025-043,Supply of Vehicles for Karnali Province Physical Infrastructure Office,Karnali Province Physical Infrastructure Office,8378975.48,8154288.78,Shopping,Machhapuchhre Suppliers,7/7/2024,8/23/2024,Completed,100,2.76,6,47,-358955.56,FALSE,FALSE,8737931.04
C-2025-044,Procurement of Electric Poles for Department of Roads,"Department of Roads, DOR",6347588.56,5702576.79,NCB,Mountain Steel Fabricators,5/12/2024,8/28/2024,Completed,100,11.31,14,108,576937.61,FALSE,FALSE,5770650.95
C-2025-045,Water Supply Improvement for Ministry of Health and Population,Ministry of Health and Population,44626538.63,45773050.16,Direct,Seti River Works,3/22/2025,1/22/2026,In-Progress,23.86,-2.5,1,306,33514938.6,FALSE,FALSE,11111600.03
C-2025-046,Municipal Office Complex for National Public Procurement Monitoring Office,National Public Procurement Monitoring Office,15708076.08,15997843.16,NCB,Buddha IT Solutions,5/1/2025,6/11/2026,In-Progress,56.46,-1.81,9,406,7916528.19,FALSE,FALSE,7791547.89
C-2025-047,Detailed Project Report (DPR) for Karnali Province Physical Infrastructure Office,Karnali Province Physical Infrastructure Office,4207389.9,4754208.16,Shopping,Gorkha Consulting Engineers,5/5/2025,10/23/2025,Completed,100,-11.5,3,171,-266025.37,FALSE,FALSE,4473415.27
C-2025-048,Social Safeguard Study for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,2143560.38,2276041.48,QCBS,Chitwan Agro & Coldchain,2/16/2024,4/23/2024,Completed,100,-5.82,10,67,-66079.87,TRUE,FALSE,2209640.25
C-2025-049,Supply of Cement and Steel for Department of Electricity Development,Department of Electricity Development,45189067.47,48284828.65,QCBS,Bheri Hospital Constructors,4/5/2025,7/24/2025,Completed,100,-6.41,8,110,-3078909.14,FALSE,FALSE,48267976.61
C-2025-050,Municipal Office Complex for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,39461447.9,37968530.2,Direct,Annapurna Developers,9/8/2024,12/26/2025,In-Progress,73.97,3.93,1,474,12101623,FALSE,FALSE,27359824.9
C-2025-051,Municipal Office Complex for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,19950841.31,20146856.27,NCB,Hetauda Smart City Consortium,11/14/2023,10/10/2024,Completed,100,-0.97,11,331,-2770763.15,FALSE,FALSE,22721604.46
C-2025-052,Supply of Smart Cards for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),9277754.42,7482268.6,Direct,Koshi Irrigation Contractors,1/12/2025,1/27/2025,Completed,100,24,1,15,262708.08,FALSE,FALSE,9015046.34
C-2025-053,Water Supply Improvement for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,27745050.21,24156800.25,NCB,Koshal Logistics Pvt. Ltd.,12/15/2024,4/19/2026,In-Progress,37.12,14.85,11,490,16314759.15,FALSE,FALSE,11430291.06
C-2025-054,Bridge Construction for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),30397628.51,30563861.61,NCB,Shree Ganesh Nirman Sewa,11/19/2023,8/17/2024,Completed,100,-0.54,6,272,1188426.32,FALSE,FALSE,29209202.19
C-2025-055,Road Rehabilitation for Department of Electricity Development,Department of Electricity Development,39049921.09,29560122.11,NCB,Bheri Hospital Constructors,9/2/2023,5/11/2025,In-Progress,59.66,32.1,7,617,17303300.72,FALSE,FALSE,21746620.37
C-2025-056,Design Consultancy for Ministry of Health and Population,Ministry of Health and Population,2288405.09,2256897.48,QCBS,Patan Heritage Restoration Group,7/7/2023,1/24/2024,Completed,100,1.4,6,201,-69336.93,FALSE,FALSE,2357742.02
C-2025-057,Irrigation Canal Upgrade for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,12991711.77,12470222.53,Direct,Pashupati Electricals,11/11/2024,2/17/2026,In-Progress,43.13,4.18,1,463,7897658.39,FALSE,TRUE,5094053.38
C-2025-058,Supply of Medical Equipment for Karnali Province Physical Infrastructure Office,Karnali Province Physical Infrastructure Office,8060537.95,6840929.59,QCBS,Gorkha Consulting Engineers,10/21/2024,3/30/2025,In-Progress,77.95,17.83,5,160,751005.38,FALSE,FALSE,7309532.57
C-2025-059,Drainage & Sewer Line Expansion for Department of Electricity Development,Department of Electricity Development,10728110.68,10104720.67,NCB,Seti River Works,8/21/2023,12/16/2024,Completed,100,6.17,8,483,-815493.78,FALSE,FALSE,11543604.46
C-2025-060,Irrigation Canal Upgrade for Ministry of Education,"Ministry of Education, Science and Technology",34840520.76,38079159.22,Shopping,Trishuli Tech Works,9/22/2023,6/23/2024,Completed,100,-8.51,6,275,1937684.42,FALSE,FALSE,32902836.34
C-2025-061,Hospital Building Extension for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,3818008.83,3348674.3,NCB,Sagarmatha Infra JV,8/1/2023,7/18/2024,Completed,100,14.02,7,352,57858.45,TRUE,FALSE,3760150.38
C-2025-062,Bridge Construction for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,71089256.72,58889134.21,NCB,Hetauda Smart City Consortium,6/16/2025,1/12/2026,Delayed,44,20.72,8,210,39252328.74,FALSE,FALSE,31836927.98
C-2025-063,Supervision & Quality Assurance for Department of Roads,"Department of Roads, DOR",1713180.31,1952305.42,NCB,Annapurna Developers,2/12/2025,10/6/2025,In-Progress,55.26,-12.25,4,236,867366.95,FALSE,FALSE,845813.36
C-2025-064,Bridge Construction for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,30081948.05,27915264.9,Direct,Arun Valley Construction,10/13/2023,12/1/2024,Completed,100,7.76,1,415,-125986.96,FALSE,FALSE,30207935.01
C-2025-065,Feasibility Study for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,3440346.69,3713701.78,RFQ,Sudur Cement & Hardware,12/27/2024,5/2/2025,Completed,100,-7.36,6,126,-327386.86,TRUE,FALSE,3767733.55
C-2025-066,Budget & Cost Audit for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,8536528.79,6536842.35,QCBS,Koshi Irrigation Contractors,7/5/2024,9/18/2024,In-Progress,51.21,30.59,9,75,3863641.19,FALSE,FALSE,4672887.6
C-2025-067,Maintenance Service Contract for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),1829924.41,1784222.65,NCB,Patan Heritage Restoration Group,10/19/2024,3/2/2025,In-Progress,42.67,2.56,10,134,1113805.24,FALSE,FALSE,716119.17
C-2025-068,Municipal Office Complex for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,33072387.96,30322446.97,ICB,Hetauda Smart City Consortium,2/3/2025,5/10/2026,In-Progress,77.49,9.07,11,461,6834806.79,FALSE,FALSE,26237581.17
C-2025-069,School Building Reconstruction for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,38949531.62,35074855.53,QCBS,Koshal Logistics Pvt. Ltd.,3/2/2025,6/2/2026,Delayed,41,11.05,9,457,21233819.5,FALSE,FALSE,17715712.12
C-2025-070,Road Rehabilitation for Nepal Telecommunications Authority,Nepal Telecommunications Authority,26362656.59,26733823.97,Direct,Sunrise Meditech Suppliers,3/3/2024,5/10/2025,Completed,100,-1.39,1,433,-2020958.45,FALSE,FALSE,28383615.04
C-2025-071,Drainage & Sewer Line Expansion for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,37067770.44,36168390.74,NCB,Arun Valley Construction,5/9/2024,2/22/2025,Completed,100,2.49,14,289,484137.41,FALSE,FALSE,36583633.03
C-2025-072,Maintenance Service Contract for Department of Local Infrastructure,Department of Local Infrastructure,3511090.94,3853847.7,RFQ,Hetauda Smart City Consortium,4/3/2024,9/24/2024,Completed,100,-8.89,5,174,-275019.29,FALSE,FALSE,3786110.23
C-2025-073,Procurement of Furniture for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,9257795.26,8913108.93,Shopping,Seti River Works,1/13/2024,4/12/2024,Completed,100,3.87,4,90,-180063.94,FALSE,FALSE,9437859.2
C-2025-074,Supply of Laboratory Kits for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,6910122.91,7403635.89,Shopping,Bhaktapur Sanitation Services,2/18/2024,5/12/2024,Completed,100,-6.67,5,84,339240.33,TRUE,FALSE,6570882.58
C-2025-075,Municipal Office Complex for Department of Roads,"Department of Roads, DOR",14597919.42,12470964.12,NCB,Lumbini Hydro Solutions,4/14/2025,12/16/2026,In-Progress,83.95,17.06,11,611,1649568.37,TRUE,FALSE,12948351.05
C-2025-076,Road Rehabilitation for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,38919552.04,38862355.37,NCB,Trishuli Tech Works,11/1/2024,1/9/2026,Delayed,32.57,0.15,5,434,26066437.17,FALSE,FALSE,12853114.87
C-2025-077,River Embankment Protection for Department of Roads,"Department of Roads, DOR",47921357.51,47075694.79,QCBS,Shree Ganesh Nirman Sewa,3/11/2024,12/14/2024,Completed,100,1.8,4,278,2373536.78,FALSE,FALSE,45547820.73
C-2025-078,Bridge Construction for Department of Electricity Development,Department of Electricity Development,34200775.34,31887197.33,RFQ,Nepal Security Printers,4/30/2024,3/17/2025,Completed,100,7.26,6,321,1687234.5,FALSE,FALSE,32513540.84
C-2025-079,Waste Collection & Management for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,2703979.02,2539487.37,NCB,Trishuli Tech Works,5/7/2025,9/16/2025,Completed,100,6.48,5,132,76420.66,FALSE,FALSE,2627558.36
C-2025-080,Municipal Office Complex for Nepal Telecommunications Authority,Nepal Telecommunications Authority,11196921.08,9305809.78,Direct,Bhaktapur Sanitation Services,8/3/2023,8/24/2024,Completed,100,20.32,1,387,482661.79,FALSE,FALSE,10714259.29
C-2025-081,Water Supply Improvement for Nepal Water Supply Corporation,Nepal Water Supply Corporation,32169988.42,37865451.51,NCB,Madan Bhandari Construction,5/8/2025,4/7/2026,In-Progress,76.44,-15.04,7,334,7887962.51,FALSE,FALSE,24282025.91
C-2025-082,GIS Mapping and Survey for Birgunj Metropolitan City Office,Birgunj Metropolitan City Office,2082046.34,2077420.92,NCB,Chitwan Agro & Coldchain,3/1/2025,7/27/2025,Delayed,47.78,0.22,15,148,1046929.7,FALSE,FALSE,1035116.64
C-2025-083,Supply of Vehicles for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),8534891.97,10104703.29,Shopping,Shikhar Energy Solutions,11/17/2024,1/12/2025,Completed,100,-15.54,6,56,55695.37,TRUE,FALSE,8479196.6
C-2025-084,Procurement of Electric Poles for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,9295788.4,8848229.13,NCB,Kalika Water Projects,2/21/2025,6/7/2025,In-Progress,60.6,5.06,4,106,3655517.25,FALSE,TRUE,5640271.15
C-2025-085,Municipal Office Complex for Nepal Water Supply Corporation,Nepal Water Supply Corporation,16788322.77,16837700.94,Direct,Seti River Works,2/19/2025,2/25/2026,In-Progress,67.45,-0.29,1,371,4002863.03,FALSE,FALSE,12785459.74
C-2025-086,Drainage & Sewer Line Expansion for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,97163868.25,88216853.35,NCB,Annapurna Developers,12/12/2023,3/31/2025,Completed,100,10.14,9,475,-5085482.85,FALSE,FALSE,102249351.1
C-2025-087,Budget & Cost Audit for Department of Electricity Development,Department of Electricity Development,8757414.93,7907982.51,RFQ,Shree Ganesh Nirman Sewa,5/18/2024,10/26/2024,Completed,100,10.74,5,161,441227.56,FALSE,FALSE,8316187.37
C-2025-088,Social Safeguard Study for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),1257010.6,1177705.04,NCB,Hetauda Smart City Consortium,8/27/2024,12/19/2024,Completed,100,6.73,4,114,57254.27,FALSE,FALSE,1199756.33
C-2025-089,Supervision & Quality Assurance for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),3812478.99,4670822.42,NCB,Lumbini Hydro Solutions,4/20/2024,9/26/2024,In-Progress,78.76,-18.38,11,159,941736.52,TRUE,FALSE,2870742.47
C-2025-090,Supply of Computers & Networking for Kathmandu Metropolitan City Office,Kathmandu Metropolitan City Office,8418646.17,7084897.02,NCB,Sunrise Meditech Suppliers,8/21/2024,10/14/2024,Completed,100,18.83,5,54,-925104.2,FALSE,FALSE,9343750.37
C-2025-091,Supply of Cement and Steel for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,5206467.57,4136142.05,NCB,Bhaktapur Sanitation Services,12/3/2024,4/19/2025,Completed,100,25.88,15,137,-422933.56,FALSE,FALSE,5629401.13
C-2025-092,Drainage & Sewer Line Expansion for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,56102435.73,45368282.7,NCB,Buddha IT Solutions,12/2/2024,11/13/2025,Delayed,40.02,23.66,15,346,33632589.89,FALSE,FALSE,22469845.84
C-2025-093,Municipal Office Complex for Nepal Water Supply Corporation,Nepal Water Supply Corporation,20377883.27,21900966.86,QCBS,Himalayan Builders Pvt. Ltd.,4/15/2024,4/15/2025,Completed,100,-6.95,9,365,1305350.67,FALSE,FALSE,19072532.6
C-2025-094,Supervision & Quality Assurance for Nepal Telecommunications Authority,Nepal Telecommunications Authority,3450856.55,3663887.1,NCB,Sudur Cement & Hardware,6/5/2024,10/24/2024,Completed,100,-5.81,12,141,-147340.85,FALSE,FALSE,3598197.4
C-2025-095,Equipment Installation Service for Ministry of Health and Population,Ministry of Health and Population,1214263.92,1400436.34,NCB,Pashupati Electricals,8/24/2024,10/26/2024,Completed,100,-13.29,4,63,-24211.01,FALSE,FALSE,1238474.93
C-2025-096,Bridge Construction for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,67706394.39,68646223.88,Direct,Janakpur IT & Systems,11/19/2024,8/16/2025,In-Progress,84.48,-1.37,1,270,10233746.43,FALSE,FALSE,57472647.96
C-2025-097,Detailed Project Report (DPR) for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),7202245.27,6987073.17,NCB,Hetauda Smart City Consortium,7/16/2023,4/14/2024,Completed,100,3.08,15,273,-419849.54,FALSE,FALSE,7622094.81
C-2025-098,Solar Mini-Grid Installation for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,60683290.28,53656722.63,Shopping,Gautam Engineering Services,6/9/2025,8/20/2026,In-Progress,72.15,13.1,6,437,13046575.52,FALSE,FALSE,47636714.76
C-2025-099,Water Supply Improvement for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,13125203.78,9913363.23,NCB,Himalayan Software Labs,1/5/2025,6/2/2025,Completed,100,32.4,4,148,212161.18,FALSE,FALSE,12913042.6
C-2025-100,Public Awareness Campaign for Ministry of Education,"Ministry of Education, Science and Technology",4761439.87,4803775.61,Direct,Annapurna Developers,4/9/2025,9/11/2025,Completed,100,-0.88,1,155,-465273.3,FALSE,FALSE,5226713.17
C-2025-101,IT System Development for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,1125207.37,1117707.05,NCB,Bhaktapur Sanitation Services,7/2/2024,8/21/2024,Completed,100,0.67,9,50,-25929.2,FALSE,FALSE,1151136.57
C-2025-102,Water Supply Improvement for Ministry of Health and Population,Ministry of Health and Population,7721619.96,7639041.83,NCB,Gautam Engineering Services,5/30/2025,5/21/2026,In-Progress,22.39,1.08,7,356,5682491.84,FALSE,FALSE,2039128.12
C-2025-103,River Embankment Protection for Department of Electricity Development,Department of Electricity Development,15188849.46,14252243.79,Direct,Bhaktapur Sanitation Services,5/24/2025,7/1/2026,In-Progress,28.52,6.57,1,403,10914111,TRUE,FALSE,4274738.46
C-2025-104,School Building Reconstruction for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,14776732.48,15670511.74,Shopping,Trishuli Tech Works,10/10/2024,1/27/2026,In-Progress,41.74,-5.7,5,474,9311888.53,FALSE,FALSE,5464843.95
C-2025-105,Road Rehabilitation for Department of Roads,"Department of Roads, DOR",14344176.61,13391179.4,NCB,Bhaktapur Sanitation Services,7/23/2023,7/4/2024,Completed,100,7.12,14,347,1030954.32,TRUE,FALSE,13313222.29
