contractRecordsTO.SCPType,contractRecordsTO.beneficialOwner,contractRecordsTO.biddingProcess,contractRecordsTO.bolpatraId1,contractRecordsTO.bolpatraId2,contractRecordsTO.bolpatraId3,contractRecordsTO.contractAddress,contractRecordsTO.contractAmount,contractRecordsTO.contractDate,contractRecordsTO.contractId,contractRecordsTO.contractName,contractRecordsTO.contractStatus,contractRecordsTO.contractType,contractRecordsTO.contractorCountry1,contractRecordsTO.contractorCountry2,contractRecordsTO.contractorCountry3,contractRecordsTO.contractorGenericName,contractRecordsTO.contractorName1,contractRecordsTO.contractorName2,contractRecordsTO.contractorName3,contractRecordsTO.contractorType,contractRecordsTO.deliveryDate,contractRecordsTO.dlpEndDate,contractRecordsTO.dlpStartDate,contractRecordsTO.donorParty,contractRecordsTO.endOrCompleteDate,contractRecordsTO.estimatedCost,contractRecordsTO.fiscalYear,contractRecordsTO.grantLoanNo,contractRecordsTO.ifbNo,contractRecordsTO.isSCP,contractRecordsTO.outstandingValue,contractRecordsTO.percentageOfCompletion,contractRecordsTO.postValidationDate,contractRecordsTO.procurementCategoryId,contractRecordsTO.procurementMethodId,contractRecordsTO.projectDescription,contractRecordsTO.publicEntity,contractRecordsTO.publicEntityName,contractRecordsTO.sharedPercentage1,contractRecordsTO.sharedPercentage2,contractRecordsTO.sharedPercentage3,contractRecordsTO.sourceOfFund,contractRecordsTO.startDate,contractRecordsTO.totalPayment,contractRecordsTO.vat_no1,contractRecordsTO.vat_no2,contractRecordsTO.vat_no3,contractRecordsTO.warrantyPeriod,contract_id
,,Only e-Bid,,,,"Manahari-7, Makawanpur",6804138.96,11-04-2022,IDO/CHT/W/NCB/139/078-79,Construction/Upgrading of road from Chaukitar - Garkha – Dungukhola,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Maharudra Construction,Maharudra Construction,,,Single,,,,,04-07-2022,7499945.35,2078/79,,IDO/CHT/W/NCB/139/078-79,No,577960.38,0,,Works,NCB,"Construction/Upgrading of road from Chaukitar - Garkha – Dungukhola, Makawanpur",1843,Infrastructure Development Office Chitwan,100,,,Goverment,11-04-2022,6226178.58,303908308,,,0,IDO/CHT/W/NCB/139/078-79
,,Only e-Bid,,,,"Bharatpur, Chitwan",68543628.92,22-05-2022,IDO/CHT/W/NCB/138/078-79,Hakim Chowk-Dhare Chowk-Makhan Chowk-Ashok Chowk-Pandey Ghumti- Diary Chowk-Sitamai Road,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Om Satya Sai Construction Pvt. Ltd.,Om Satya Sai Construction Pvt. Ltd.,,,Single,,,,,24-11-2023,99784234.45,2078/79,,IDO/CHT/W/NCB/138/078-79,No,57993799.79,0,,Works,NCB,"Hakim Chowk-Dhare Chowk-Makhan Chowk-Ashok Chowk-Pandey Ghumti-
Diary Chowk-Sitamai Road",1843,Infrastructure Development Office Chitwan,100,,,Goverment,22-05-2022,10549829.13,609586491,,,0,IDO/CHT/W/NCB/138/078-79
,,Only e-Bid,,,,"Jwagal, Lalitpur",38811695.01,30-01-2022,IDO/CHT/W/NCB/65/078-79,Construction of Rigdi Khola Bridge,In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Rayamajhi – Lumbini J/V,Rayamajhi Construction Pvt. Ltd.,Lumbini Construction,,Joint Venture,,,,,31-07-2023,60708000.60,2078/79,,IDO/CHT/W/NCB/65/078-79,No,37112695.01,0,,Works,NCB,"Construction of Rigdi Khola Bridge, Ichchakamana-02, Chitwan",1843,Infrastructure Development Office Chitwan,60,40,,Goverment,30-01-2022,1699000.00,300080926,305425467,,0,IDO/CHT/W/NCB/65/078-79 
,,Only e-Bid,,,,"phidim-1 ,Panchthar",14892262.20,18-06-2019,UDBO/ILAM/W/NCB/06/075-076,Construction of coverd hall building at DCC premises,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Ale Nirman Sewa(pvt.)ltd,Ale Nirman Sewa(pvt.)ltd,,,Single,,16-09-2023,16-09-2022,,16-09-2022,18922964.90,,,UDBO/ILAM/W/NCB/06/075-076,No,26.00,0,,Works,NCB,Construction of coverd hall building at DCC premises,1846,"Urban Development and Building Office, Ilam",100,,,Goverment,18-06-2019,11012185.21,606895536,,,0,UDBO/ILAM/W/NCB/06/075-076
,,Only e-Bid,,,,"Lalitpur, Nepal",184082853.80,02-12-2021,IDO/CHT/W/NCB/79/077-78,Hattidhap Surkhandi Thakuri Bhanjyang Kaanda Kaminchuli Jane Bato Sadak,In-Progress,Unit rate contract,Nepal,Nepal,Nepal,World Wide – Sushan - Lord Buddha J/V,Worldwide Construction Pvt.Ltd.,Sushan Construction,Lord Buddha International Construction & Suppliers,Joint Venture,,,,,01-12-2023,354059504.37,2077/78,,IDO/CHT/W/NCB/79/077-78,No,156523359.80,0,,Works,NCB,"Hattidhap Surkhandi Thakuri Bhanjyang Kaanda Kaminchuli Jane Bato Sadak, Rapti Municipality, Chitwan",1843,Infrastructure Development Office Chitwan,40,30,30,Goverment,02-12-2021,27559494.00,301875211,300043862,601881314,0,IDO/CHT/W/NCB/79/077-78
,,Only e-Bid,,,,"Lalitpur, Nepal",32186153.29,01-12-2021,IDO/CHT/W/NCB/78/077-78,Purbi Chitwan Ring Road,In-Progress,Unit rate contract,Nepal,Nepal,Nepal,World Wide – Sushan - Lord Buddha J/V,Worldwide Construction Pvt.Ltd.,Sushan Construction,Lord Buddha International Construction & Suppliers,Joint Venture,,,,,30-11-2022,49993905.84,2077/78,,IDO/CHT/W/NCB/78/077-78,No,24342230.71,0,,Works,NCB,"Purbi Chitwan Ring Road, Rapti Municipality - 6, 7, 8 & 9",1843,Infrastructure Development Office Chitwan,40,30,30,Goverment,01-12-2021,7843922.58,301875211,300043862,601881314,0,IDO/CHT/W/NCB/78/077-78
Others,,Only e-Bid,,,,"Kamal Rural Municipality, Ward No. 3",7498188.20,20-03-2022,22/KRM/BRIDGE/2078/079,Construction of superstructure & protection works in gosline dhyangri khola bridge,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Gyan Bahadur Tamang,Bigyan Construction,,,Single,,31-10-2023,30-09-2022,,29-09-2022,7686482.59,2078/79,,22/KRM/BRIDGE/2078/079,Yes,0.00,0,,Works,NCB,Bridge Construction Works,1728,Kamal Rural Municipality,100,,,Internal Resource,20-03-2022,288378.00,604355498,,,0,22/KRM/BRIDGE/2078/079
,,Only e-Bid,,,,"Balkumari-08, Lalitpur",172991453.69,06-04-2022,IDO/CHT/W/NCB/120/078-79,Construction and Upgrading Work of Puspalal lal Pradesh Chakrapath (Adamghat- Manahari Road project),In-Progress,Unit rate contract,Nepal,Nepal,Nepal,Raman-PR-Niriksha JV,Raman Construction Pvt. Ltd.,P.R. Infrastructure Pvt. Ltd.,Niriksha Nirman Sewa Pvt. Ltd.,Joint Venture,,,,,04-04-2024,356455135.66,2078/79,,IDO/CHT/W/NCB/120/078-79,No,157891453.70,0,,Works,NCB,"Construction and Upgrading Work of Puspalal lal Pradesh Chakrapath
(Adamghat- Manahari Road project)",1843,Infrastructure Development Office Chitwan,40,35,25,Goverment,06-04-2022,15100000.00,300079711,301926669,600016816,0,IDO/CHT/W/NCB/120/078-79
,,Only e-Bid,,,,"Kamal Rural Municipality, Ward No. 3",4306695.06,28-06-2022,45/KRM/ROAD/2078/079,"Construction Of Asphalt Concreting work and Road  Lighting System in Kerkha Bazaar, Ward No. 3",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Gyan Bahadur Tamang,Bigyan Construction,,,Single,,18-10-2023,17-09-2022,,16-09-2022,4435326.08,2078/79,,45/KRM/ROAD/2078/079,No,0.00,0,,Works,NCB,Road Construction and Street Lighting Syatem,1728,Kamal Rural Municipality,0,,,Internal Resource,29-06-2022,0.00,604355498,,,0,45/KRM/ROAD/2078/079
,,Only e-Bid,,,,"Bharatpur-21,chitwan",3938545.32,06-06-2022,35-BHR/2078/079/W/NCB/106,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Pradip Nirman Sewa,Pradip Nirman Sewa,,,Single,,,,,04-08-2022,3999314.27,2078/79,,35-BHR/2078/079/W/NCB/106,No,0.00,100,,Works,NCB,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,06-06-2022,0.00,611317409,,,0,35-BHR/2078/079/W/NCB/106
,,Only e-Bid,,,,"Rapti Municipality-09, Chitwan",7787666.58,06-04-2022,IDO/CHT/W/NCB/131/078-79,Construction/Upgrading Work of Uttarakhanda Road,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Mahakali Devi Construction Company Pvt. Ltd.,Mahakali Devi Construction Company Pvt. Ltd.,,,Single,,,,,04-07-2022,9999618.23,2078/79,,IDO/CHT/W/NCB/131/078-79,No,7064764.83,0,,Works,NCB,"Construction/Upgrading Work of Uttarakhanda Road, Rapti – Khairahani Muncipality, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,06-04-2022,722901.75,609633236,,,0,IDO/CHT/W/NCB/131/078-79
,,Only e-Bid,,,,"Bharatpur, Chitwan",2766031.98,14-02-2022,IDO/CHT/W/NCB/116/078-79,Construction/Upgrading works of Piple Chowk to Dubechaur Samma Tower,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Perisha Construction and Supplier Pvt Ltd,Perisha Construction and Supplier Pvt Ltd,,,Single,,,,,29-06-2022,3999568.34,2078/79,,IDO/CHT/W/NCB/116/078-79,No,1938442.58,0,,Works,NCB,"Construction/Upgrading works of Piple Chowk to Dubechaur Samma Tower, Rapti-1, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,827589.40,605929775,,,0,IDO/CHT/W/NCB/116/078-79
,,Only e-Bid,,,,"Pidarguthi-9, Parsa, Nepal",26590310.31,17-06-2020,IDO/CHT/W/LRBP/NCB/78/076-77,Juwa Khola Bridge,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Sagar Nirman Sewa,Sagar Nirman Sewa,,,Single,,,,,13-04-2022,33241423.14,,,IDO/CHT/W/LRBP/NCB/78/076-77,No,3279689.42,0,,Works,NCB,"Juwa Khola Bridge, Rapti Muncipality, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,17-06-2020,23310620.89,300238233,,,0,IDO/CHT/W/LRBP/NCB/78/076-77
,,--Select Bidding Process --,,,,"Bharatpur, Chitwan",82309689.65,19-05-2022,IDO/CHT/W/NCB/84/076-77,Construction of Baghmara Dovan RCC Motorable Bridge Over Baghmara Dova Khola,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Adventure Construction Company Pvt. Ltd,Adventure Construction Company Pvt. Ltd,,,Single,,,,,19-05-2022,117417505.17,,,IDO/CHT/W/NCB/84/076-77,No,45309493.76,0,,Works,NCB,"Construction of Baghmara Dovan RCC Motorable Bridge Over Baghmara Dova Khola, Ratnanagar-08, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,19-05-2020,37000195.89,300011375,,,0,IDO/CHT/W/NCB/84/076-77
,,Only e-Bid,,,,"Bharatpur – 11, Chitwan",41261775.86,21-06-2021,IDO/CHT/W/NCB/68/077-78,Construction of Shaktikhola Bridge,In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Siddhartha – Shivam JV,Siddhartha Darshan Builders (P.) Ltd.,Shibam Construction,,Joint Venture,,,,,16-10-2022,66707102.09,2077/78,,IDO/CHT/W/NCB/68/077-78,No,31908666.03,0,,Works,NCB,"Construction of Shaktikhola Bridge, Shaktikhor, Chitwan",1843,Infrastructure Development Office Chitwan,50,50,,Goverment,21-06-2021,9353109.83,300089396,602146425,,0,IDO/CHT/W/NCB/68/077-78 
,,Only e-Bid,,,,Sarawal,8930581.00,21-04-2022,UDB-RUP/34701013/078-79/60,Bipasna Centre,Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,KAT Construction,"""""",,,Single,,,,,,130000.00,2078/79,,UDB-RUP/34701013/078-79/60,No,0.00,100,,Works,NCB,Bipasna Centre,2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,0.00,608429898,,,0,UDB-RUP/34701013/078-79/60
