sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code,SCPType,beneficialOwner,biddingProcess,bolpatraId1,bolpatraId2,bolpatraId3,contractAddress,contractDate,contractType,contractorCountry1,contractorCountry2,contractorCountry3,contractorGenericName,contractorName1,contractorName2,contractorName3,contractorType,deliveryDate,dlpEndDate,dlpStartDate,donorParty,endOrCompleteDate,estimatedCost,fiscalYear,grantLoanNo,ifbNo,isSCP,outstandingValue,percentageOfCompletion,postValidationDate,projectDescription,publicEntity,publicEntityName,sharedPercentage1,sharedPercentage2,sharedPercentage3,sourceOfFund,startDate,totalPayment,vat_no1,vat_no2,vat_no3,warrantyPeriod,contract_id
11,Infrastructure Development Office Chitwan,Construction/Upgrading works from Chhatra Subedi Home to South Kul Prasad Bhusal Home to South,1767988.71,Works,NCB,In-Progress,IDO/CHT/W/NCB/81/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",14-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2504132.88,2078/79,,IDO/CHT/W/NCB/81/078-79,No,1767988.71,0,,"Construction/Upgrading works from Chhatra Subedi Home to South Kul Prasad Bhusal Home to South Khairahani -5 & 13, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.0,602253303,,,0,IDO/CHT/W/NCB/81/078-79
12,Infrastructure Development Office Chitwan,Construction/Upgrading works from Dinesh Pudasaini Home to Goma Bhujel home to Rapti Dyke,1708379.1,Works,NCB,In-Progress,IDO/CHT/W/NCB/80/078-79,,,Only e-Bid,,,,"Khairahani-03, Chitwan",14-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kusum and Construction,Kusum and Construction,,,Single,,,,,13-06-2022,2496859.48,2078/79,,IDO/CHT/W/NCB/80/078-79,No,1708379.1,0,,"Construction/Upgrading works from Dinesh Pudasaini Home to Goma Bhujel home to Rapti Dyke, Khairahani-11, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,0.0,602253303,,,0,IDO/CHT/W/NCB/80/078-79
13,Punarbas Municipality Office,Rastriya Adharbhut School to Khet jane sadak  ward no  7,1405946.0,Works,Sealed Quotation,In-Progress,PUN/MUN/078/079-29,,,Only e-Bid,PUN/MUN/078/079-29,,,"Krishnapur,2,Kanchanpur",14-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Girspa Construction,Girspa Construction,,,Single,,17-11-2023,17-10-2022,,16-10-2022,1580295.0,2078/79,,PUN/MUN/078/079-29,No,0.0,0,,Rastriya Adharbhut School to Khet jane sadak  ward no  7,1880,Punarbas Municipality Office,100,,,Goverment,14-07-2022,0.0,612840775,,,0,PUN/MUN/078/079-29
14,Infrastructure Development Office Chitwan,Construction/Upgrading works of Jalbire - Yakrang - Chanaute Dhungre Road,4929183.94,Works,NCB,In-Progress,IDO/CHT/W/NCB/62/078-79,,,Only e-Bid,,,,"Neelkantha-3, Dhading",29-11-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Jaleshwor Nirman Sewa,Jaleshwor Nirman Sewa,,,Single,,,,,,7497065.51,2078/79,,IDO/CHT/W/NCB/62/078-79,No,4929183.94,0,,"Construction/Upgrading works of Jalbire - Yakrang - Chanaute Dhungre Road, Ichhchakamana Rural Muncipality - 6, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,29-11-2021,0.0,300929115,,,0,IDO/CHT/W/NCB/62/078-79
15,Punarbas Municipality Office,Sitabasti Khagaun kirtipur - masanghat  Road Maintinance ward no 9,1373797.05,Works,Sealed Quotation,In-Progress,PUN/MUN/078/079-30,,,Only e-Bid,PUN/MUN/078/079-30,,,"Bhimdutta -6,Kanchanpur",14-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Pankaj Construction,Pankaj Construction,,,Single,,17-11-2023,17-10-2022,,16-10-2022,1573501.0,2078/79,,PUN/MUN/078/079-30,No,0.0,0,,Sitabasti Khagaun kirtipur - masanghat  Road Maintinance ward no 9,1880,Punarbas Municipality Office,100,,,Goverment,14-07-2022,0.0,302527290,,,0,PUN/MUN/078/079-30
16,Punarbas Municipality Office,Medical Tol Road maintinance Ward no 10,1218127.57,Works,Sealed Quotation,Completed,PUN/MUN/078/079-31,,,Only e-Bid,PUN/MUN/078/079-31,,,"punarbas,02-Kanchanpur",07-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Daut Nirman Sewa,Daut Nirman Sewa,,,Single,,17-07-2023,17-07-2022,,16-07-2022,1580295.0,2078/79,,PUN/MUN/078/079-31,No,0.0,100,,Medical Tol Road maintinance Ward no 10,1880,Punarbas Municipality Office,100,,,Goverment,07-07-2022,1218127.57,304182866,,,0,PUN/MUN/078/079-31
17,Punarbas Municipality Office,Procurement of Fabricated Steel Parts for Kursha Nala-09 and Lamaiya Nala-10 Trail Bridge,3070984.0,Works,NCB,In-Progress,TB/PUN/MUN/078/079-26,,,Only e-Bid,TB/PUN/MUN/078/079-26,,,"Butuwal-10,Rupandehi",30-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Lumbini Engineering Works Pvt Ltd,Lumbini Engineering Works Pvt Ltd,,,Single,,18-10-2023,19-10-2022,,18-10-2022,307510.0,2078/79,,TB/PUN/MUN/078/079-26,No,0.0,0,,Procurement of Fabricated Steel Parts for Kursha Nala-09 and Lamaiya Nala-10 Trail Bridge,1880,Punarbas Municipality Office,100,,,Goverment,30-06-2022,0.0,305662961,,,0,TB/PUN/MUN/078/079-26
18,Infrastructure Development Office Chitwan,Jagatpur-Parbatipur-mildada-Rampur-Gautambuddha Rangasala-Sibhaghat Road (Parbatipur-Mildada Section),34532621.21,Works,NCB,Completed,IDO/CHT/W/NCB/63/078-79,,,Only e-Bid,,,,"Bharatpur, Chitwan",16-01-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Om Satya Sai Construction Pvt. Ltd.,Om Satya Sai Construction Pvt. Ltd.,,,Single,,,,,05-07-2023,49657482.25,2078/79,,IDO/CHT/W/NCB/63/078-79,No,0.0,100,,"Jagatpur-Parbatipur-mildada-Rampur-Gautambuddha Rangasala-Sibhaghat
Road (Parbatipur-Mildada Section)",1843,Infrastructure Development Office Chitwan,100,,,Goverment,,32155683.31,609586491,,,0,IDO/CHT/W/NCB/63/078-79
19,Kamal Rural Municipality,"Construction of ward office building, ward no. 2",8982741.58,Works,NCB,In-Progress,23/KRM/BUILDING/2078/079,,,Only e-Bid,,,,Kathmandu 32,22-02-2022,Unit rate contract,Nepal,Nepal,--Select Country--,Basanta Budhathoki/Sher Bahadur shrestha,Ansubi Construction Pvt. Ltd,Kankai Babai Nirman Sewa,,Joint Venture,,29-03-2024,28-02-2023,,27-02-2023,12314780.14,,,23/KRM/BUILDING/2078/079,No,0.0,0,,Ward office building construction works,1728,Kamal Rural Municipality,60,40,,Internal Resource,22-02-2022,0.0,609662261,605970487.0,,0,23/KRM/BUILDING/2078/079
20,Infrastructure Development Office Chitwan,"Construction/Upgrading works of Kari Chaudhary's Home to Kathepul and Marala Chaudhary, Lamichhane home to Khola Road",1268262.08,Works,NCB,In-Progress,IDO/CHT/W/NCB/06/078-79,,,Only e-Bid,,,,"Khairahani-4, Chitwan",26-11-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,R.S. Nirman Sewa,R.S. Nirman Sewa,,,Single,,,,,29-05-2022,2070681.23,2078/79,,IDO/CHT/W/NCB/06/078-79,No,1268262.08,0,,"Construction/Upgrading works of Kari Chaudhary's Home to Kathepul and Marala Chaudhary, Lamichhane home to Khola Road, Khaireni 08, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,26-11-2021,0.0,302392306,,,0,IDO/CHT/W/NCB/06/078-79
21,"Urban Development and Building Office, Ilam","Construction of Community Building Miklajung-5, Pancthar",17514779.75,Works,NCB,Completed,UDBO/ILAM/W/NCB/06/076-077,,,Only e-Bid,,,,"Phidim-1 , Pancthar",16-06-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,Ale Nirman Sewa Pvt Ltd,??? ??????? ???? ????.??.,,,Single,,15-06-2023,15-06-2022,,15-06-2022,21707672.87,,,UDBO/ILAM/W/NCB/06/076-077,No,0.0,100,,Construction of Community Building Miklajung 5 pancthar RCC building construction,1846,"Urban Development and Building Office, Ilam",100,,,Goverment,16-06-2020,16379177.17,606895536,,,0,UDBO/ILAM/W/NCB/06/076-077
22,Infrastructure Development Office Chitwan,Construction/Upgrading of road from Chaukitar - Garkha – Dungukhola,6804138.96,Works,NCB,In-Progress,IDO/CHT/W/NCB/139/078-79,,,Only e-Bid,,,,"Manahari-7, Makawanpur",11-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Maharudra Construction,Maharudra Construction,,,Single,,,,,04-07-2022,7499945.35,2078/79,,IDO/CHT/W/NCB/139/078-79,No,577960.38,0,,"Construction/Upgrading of road from Chaukitar - Garkha – Dungukhola, Makawanpur",1843,Infrastructure Development Office Chitwan,100,,,Goverment,11-04-2022,6226178.58,303908308,,,0,IDO/CHT/W/NCB/139/078-79
23,Infrastructure Development Office Chitwan,Hakim Chowk-Dhare Chowk-Makhan Chowk-Ashok Chowk-Pandey Ghumti- Diary Chowk-Sitamai Road,68543628.92,Works,NCB,In-Progress,IDO/CHT/W/NCB/138/078-79,,,Only e-Bid,,,,"Bharatpur, Chitwan",22-05-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Om Satya Sai Construction Pvt. Ltd.,Om Satya Sai Construction Pvt. Ltd.,,,Single,,,,,24-11-2023,99784234.45,2078/79,,IDO/CHT/W/NCB/138/078-79,No,57993799.79,0,,"Hakim Chowk-Dhare Chowk-Makhan Chowk-Ashok Chowk-Pandey Ghumti-
Diary Chowk-Sitamai Road",1843,Infrastructure Development Office Chitwan,100,,,Goverment,22-05-2022,10549829.13,609586491,,,0,IDO/CHT/W/NCB/138/078-79
24,Infrastructure Development Office Chitwan,Construction of Rigdi Khola Bridge,38811695.01,Works,NCB,In-Progress,IDO/CHT/W/NCB/65/078-79 ,,,Only e-Bid,,,,"Jwagal, Lalitpur",30-01-2022,Unit rate contract,Nepal,Nepal,--Select Country--,Rayamajhi – Lumbini J/V,Rayamajhi Construction Pvt. Ltd.,Lumbini Construction,,Joint Venture,,,,,31-07-2023,60708000.6,2078/79,,IDO/CHT/W/NCB/65/078-79,No,37112695.01,0,,"Construction of Rigdi Khola Bridge, Ichchakamana-02, Chitwan",1843,Infrastructure Development Office Chitwan,60,40,,Goverment,30-01-2022,1699000.0,300080926,305425467.0,,0,IDO/CHT/W/NCB/65/078-79 
25,"Urban Development and Building Office, Ilam",Construction of coverd hall building at DCC premises,14892262.2,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/06/075-076,,,Only e-Bid,,,,"phidim-1 ,Panchthar",18-06-2019,Unit rate contract,Nepal,--Select Country--,--Select Country--,Ale Nirman Sewa(pvt.)ltd,Ale Nirman Sewa(pvt.)ltd,,,Single,,16-09-2023,16-09-2022,,16-09-2022,18922964.9,,,UDBO/ILAM/W/NCB/06/075-076,No,26.0,0,,Construction of coverd hall building at DCC premises,1846,"Urban Development and Building Office, Ilam",100,,,Goverment,18-06-2019,11012185.21,606895536,,,0,UDBO/ILAM/W/NCB/06/075-076
26,Infrastructure Development Office Chitwan,Hattidhap Surkhandi Thakuri Bhanjyang Kaanda Kaminchuli Jane Bato Sadak,184082853.8,Works,NCB,In-Progress,IDO/CHT/W/NCB/79/077-78,,,Only e-Bid,,,,"Lalitpur, Nepal",02-12-2021,Unit rate contract,Nepal,Nepal,Nepal,World Wide – Sushan - Lord Buddha J/V,Worldwide Construction Pvt.Ltd.,Sushan Construction,Lord Buddha International Construction & Suppliers,Joint Venture,,,,,01-12-2023,354059504.37,2077/78,,IDO/CHT/W/NCB/79/077-78,No,156523359.8,0,,"Hattidhap Surkhandi Thakuri Bhanjyang Kaanda Kaminchuli Jane Bato Sadak, Rapti Municipality, Chitwan",1843,Infrastructure Development Office Chitwan,40,30,30,Goverment,02-12-2021,27559494.0,301875211,300043862.0,601881314.0,0,IDO/CHT/W/NCB/79/077-78
27,Infrastructure Development Office Chitwan,Purbi Chitwan Ring Road,32186153.29,Works,NCB,In-Progress,IDO/CHT/W/NCB/78/077-78,,,Only e-Bid,,,,"Lalitpur, Nepal",01-12-2021,Unit rate contract,Nepal,Nepal,Nepal,World Wide – Sushan - Lord Buddha J/V,Worldwide Construction Pvt.Ltd.,Sushan Construction,Lord Buddha International Construction & Suppliers,Joint Venture,,,,,30-11-2022,49993905.84,2077/78,,IDO/CHT/W/NCB/78/077-78,No,24342230.71,0,,"Purbi Chitwan Ring Road, Rapti Municipality - 6, 7, 8 & 9",1843,Infrastructure Development Office Chitwan,40,30,30,Goverment,01-12-2021,7843922.58,301875211,300043862.0,601881314.0,0,IDO/CHT/W/NCB/78/077-78
28,Kamal Rural Municipality,Construction of superstructure & protection works in gosline dhyangri khola bridge,7498188.2,Works,NCB,In-Progress,22/KRM/BRIDGE/2078/079,Others,,Only e-Bid,,,,"Kamal Rural Municipality, Ward No. 3",20-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Gyan Bahadur Tamang,Bigyan Construction,,,Single,,31-10-2023,30-09-2022,,29-09-2022,7686482.59,2078/79,,22/KRM/BRIDGE/2078/079,Yes,0.0,0,,Bridge Construction Works,1728,Kamal Rural Municipality,100,,,Internal Resource,20-03-2022,288378.0,604355498,,,0,22/KRM/BRIDGE/2078/079
29,Infrastructure Development Office Chitwan,Construction and Upgrading Work of Puspalal lal Pradesh Chakrapath (Adamghat- Manahari Road project),172991453.69,Works,NCB,In-Progress,IDO/CHT/W/NCB/120/078-79,,,Only e-Bid,,,,"Balkumari-08, Lalitpur",06-04-2022,Unit rate contract,Nepal,Nepal,Nepal,Raman-PR-Niriksha JV,Raman Construction Pvt. Ltd.,P.R. Infrastructure Pvt. Ltd.,Niriksha Nirman Sewa Pvt. Ltd.,Joint Venture,,,,,04-04-2024,356455135.66,2078/79,,IDO/CHT/W/NCB/120/078-79,No,157891453.7,0,,"Construction and Upgrading Work of Puspalal lal Pradesh Chakrapath
(Adamghat- Manahari Road project)",1843,Infrastructure Development Office Chitwan,40,35,25,Goverment,06-04-2022,15100000.0,300079711,301926669.0,600016816.0,0,IDO/CHT/W/NCB/120/078-79
30,Kamal Rural Municipality,"Construction Of Asphalt Concreting work and Road  Lighting System in Kerkha Bazaar, Ward No. 3",4306695.06,Works,NCB,In-Progress,45/KRM/ROAD/2078/079,,,Only e-Bid,,,,"Kamal Rural Municipality, Ward No. 3",28-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Gyan Bahadur Tamang,Bigyan Construction,,,Single,,18-10-2023,17-09-2022,,16-09-2022,4435326.08,2078/79,,45/KRM/ROAD/2078/079,No,0.0,0,,Road Construction and Street Lighting Syatem,1728,Kamal Rural Municipality,0,,,Internal Resource,29-06-2022,0.0,604355498,,,0,45/KRM/ROAD/2078/079
31,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,3938545.32,Works,NCB,Completed,35-BHR/2078/079/W/NCB/106,,,Only e-Bid,,,,"Bharatpur-21,chitwan",06-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Pradip Nirman Sewa,Pradip Nirman Sewa,,,Single,,,,,04-08-2022,3999314.27,2078/79,,35-BHR/2078/079/W/NCB/106,No,0.0,100,,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,06-06-2022,0.0,611317409,,,0,35-BHR/2078/079/W/NCB/106
32,Infrastructure Development Office Chitwan,Construction/Upgrading Work of Uttarakhanda Road,7787666.58,Works,NCB,In-Progress,IDO/CHT/W/NCB/131/078-79,,,Only e-Bid,,,,"Rapti Municipality-09, Chitwan",06-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Mahakali Devi Construction Company Pvt. Ltd.,Mahakali Devi Construction Company Pvt. Ltd.,,,Single,,,,,04-07-2022,9999618.23,2078/79,,IDO/CHT/W/NCB/131/078-79,No,7064764.83,0,,"Construction/Upgrading Work of Uttarakhanda Road, Rapti – Khairahani Muncipality, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,06-04-2022,722901.75,609633236,,,0,IDO/CHT/W/NCB/131/078-79
33,Infrastructure Development Office Chitwan,Construction/Upgrading works of Piple Chowk to Dubechaur Samma Tower,2766031.98,Works,NCB,In-Progress,IDO/CHT/W/NCB/116/078-79,,,Only e-Bid,,,,"Bharatpur, Chitwan",14-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Perisha Construction and Supplier Pvt Ltd,Perisha Construction and Supplier Pvt Ltd,,,Single,,,,,29-06-2022,3999568.34,2078/79,,IDO/CHT/W/NCB/116/078-79,No,1938442.58,0,,"Construction/Upgrading works of Piple Chowk to Dubechaur Samma Tower, Rapti-1, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-02-2022,827589.4,605929775,,,0,IDO/CHT/W/NCB/116/078-79
34,Infrastructure Development Office Chitwan,Juwa Khola Bridge,26590310.31,Works,NCB,In-Progress,IDO/CHT/W/LRBP/NCB/78/076-77,,,Only e-Bid,,,,"Pidarguthi-9, Parsa, Nepal",17-06-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,Sagar Nirman Sewa,Sagar Nirman Sewa,,,Single,,,,,13-04-2022,33241423.14,,,IDO/CHT/W/LRBP/NCB/78/076-77,No,3279689.42,0,,"Juwa Khola Bridge, Rapti Muncipality, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,17-06-2020,23310620.89,300238233,,,0,IDO/CHT/W/LRBP/NCB/78/076-77
35,Infrastructure Development Office Chitwan,Construction of Baghmara Dovan RCC Motorable Bridge Over Baghmara Dova Khola,82309689.65,Works,NCB,In-Progress,IDO/CHT/W/NCB/84/076-77,,,--Select Bidding Process --,,,,"Bharatpur, Chitwan",19-05-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Adventure Construction Company Pvt. Ltd,Adventure Construction Company Pvt. Ltd,,,Single,,,,,19-05-2022,117417505.17,,,IDO/CHT/W/NCB/84/076-77,No,45309493.76,0,,"Construction of Baghmara Dovan RCC Motorable Bridge Over Baghmara Dova Khola, Ratnanagar-08, Chitwan",1843,Infrastructure Development Office Chitwan,100,,,Goverment,19-05-2020,37000195.89,300011375,,,0,IDO/CHT/W/NCB/84/076-77
36,Infrastructure Development Office Chitwan,Construction of Shaktikhola Bridge,41261775.86,Works,NCB,In-Progress,IDO/CHT/W/NCB/68/077-78 ,,,Only e-Bid,,,,"Bharatpur – 11, Chitwan",21-06-2021,Unit rate contract,Nepal,Nepal,--Select Country--,Siddhartha – Shivam JV,Siddhartha Darshan Builders (P.) Ltd.,Shibam Construction,,Joint Venture,,,,,16-10-2022,66707102.09,2077/78,,IDO/CHT/W/NCB/68/077-78,No,31908666.03,0,,"Construction of Shaktikhola Bridge, Shaktikhor, Chitwan",1843,Infrastructure Development Office Chitwan,50,50,,Goverment,21-06-2021,9353109.83,300089396,602146425.0,,0,IDO/CHT/W/NCB/68/077-78 
37,"Urban Development and Building Office, Rupandehi",Bipasna Centre,8930581.0,Works,NCB,Completed,UDB-RUP/34701013/078-79/60,,,Only e-Bid,,,,Sarawal,21-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,KAT Construction,"""""",,,Single,,,,,,130000.0,2078/79,,UDB-RUP/34701013/078-79/60,No,0.0,100,,Bipasna Centre,2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,0.0,608429898,,,0,UDB-RUP/34701013/078-79/60
